FCEL,2,darthspiffy25,0.0,12/30/20
TMO,5,markharris3000,0.0,12/30/20
CRWD,5,deeksstocks,0.0,12/30/20
PLTR,4,markharris3000,0.0,12/30/20
DOCU,5,markharris3000,0.0,12/30/20
ZM,4,number1fool123,0.0,12/30/20
TSLA,2,number1fool123,0.0,12/30/20
FVRR,5,graywood,0.0,12/30/20
AMD,4,rogerdhb,0.0,12/30/20
AMZN,4,rogerdhb,0.0,12/30/20
DIS,5,rogerdhb,0.0,12/30/20
FVRR,5,rogerdhb,0.0,12/30/20
GOOGL,5,rogerdhb,0.0,12/30/20
IBN,0,rogerdhb,0.0,12/30/20
INSG,3,rogerdhb,0.0,12/30/20
LGND,3,rogerdhb,0.0,12/30/20
MSFT,4,rogerdhb,0.0,12/30/20
NFLX,4,rogerdhb,0.0,12/30/20
SBAC,3,rogerdhb,0.0,12/30/20
SBUX,4,rogerdhb,0.0,12/30/20
TSLA,2,rogerdhb,0.0,12/30/20
VSTO,3,rogerdhb,0.0,12/30/20
XOM,2,rogerdhb,0.0,12/30/20
CRM,4,gjarrosson,0.0,12/30/20
F,2,jaysha216,0.0,12/30/20
DM,0,lesp55,0.0,12/30/20
BLNK,1,jaysha216,0.0,12/30/20
FVRR,5,lesp55,0.0,12/30/20
PINS,5,jaysha216,0.0,12/30/20
NIO,2,dc35247,0.0,12/30/20
AMD,4,dc35247,0.0,12/30/20
LOW,4,dc35247,0.0,12/30/20
ABT,4,dc35247,0.0,12/30/20
MMM,4,dc35247,0.0,12/30/20
CNP,0,dc35247,0.0,12/30/20
BEP,4,dc35247,0.0,12/30/20
AES,4,dc35247,0.0,12/30/20
PLTR,4,dc35247,0.0,12/30/20
ENPH,4,dc35247,0.0,12/30/20
LMND,5,dc35247,0.0,12/30/20
SRE,3,dc35247,0.0,12/30/20
FUBO,4,rlongdubai,0.0,12/30/20
AVAV,4,jps1950,0.0,12/30/20
AI,2,lopeman,0.0,12/30/20
SPCE,3,finalfrontier,0.0,12/30/20
ISRG,5,mbokam,0.0,12/30/20
MRNA,3,devilishfoolu6,0.0,12/30/20
BBY,2,devilishfoolu6,0.0,12/30/20
KR,3,devilishfoolu6,0.0,12/30/20
MRNA,3,autiger08,0.0,12/30/20
PLUG,2,autiger08,0.0,12/30/20
BLDP,2,autiger08,0.0,12/30/20
CRWD,5,autiger08,0.0,12/30/20
SPCE,3,autiger08,0.0,12/30/20
NIO,2,autiger08,0.0,12/30/20
SQ,5,autiger08,0.0,12/30/20
LMND,5,davel7777,0.0,12/30/20
BNGO,0,proximopowers,0.0,12/30/20
ADBE,4,ebarrocas,0.0,12/30/20
COST,4,ebarrocas,0.0,12/30/20
DDOG,5,ebarrocas,0.0,12/30/20
